task_id,set,difficulty,on_solved_of_2,off_solved_of_2,brief_solved_of_2,limit_solved_of_2,lora1_solved_of_2,lora2_solved_of_2,on16k_try1
HumanEval/0,HumanEval+,easy,1,0,0,2,2,2,
HumanEval/1,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/2,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/3,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/4,HumanEval+,easy,1,2,0,2,2,2,pass
HumanEval/5,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/6,HumanEval+,easy,0,0,0,0,2,0,pass
HumanEval/7,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/8,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/9,HumanEval+,easy,1,2,0,1,2,2,
HumanEval/10,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/11,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/12,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/13,HumanEval+,easy,2,1,0,2,2,2,
HumanEval/14,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/15,HumanEval+,easy,2,2,2,2,2,2,
HumanEval/16,HumanEval+,easy,2,2,0,2,2,1,
HumanEval/17,HumanEval+,easy,2,0,0,2,2,1,
HumanEval/18,HumanEval+,easy,2,2,0,2,2,1,
HumanEval/19,HumanEval+,easy,1,1,0,1,0,1,
HumanEval/20,HumanEval+,easy,1,0,0,1,0,0,
HumanEval/21,HumanEval+,easy,2,1,0,2,2,2,
HumanEval/22,HumanEval+,easy,0,0,0,0,1,0,
HumanEval/23,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/24,HumanEval+,easy,1,1,0,2,2,1,pass
HumanEval/25,HumanEval+,easy,2,2,0,2,2,1,
HumanEval/26,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/27,HumanEval+,easy,1,0,0,0,2,2,pass
HumanEval/28,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/29,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/30,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/31,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/32,HumanEval+,easy,0,0,0,0,0,0,fail
HumanEval/33,HumanEval+,easy,1,1,0,1,1,0,
HumanEval/34,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/35,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/36,HumanEval+,easy,0,1,0,2,0,1,fail
HumanEval/37,HumanEval+,easy,0,0,0,2,0,1,fail
HumanEval/38,HumanEval+,easy,0,0,0,0,0,1,fail
HumanEval/39,HumanEval+,easy,1,0,0,0,0,0,fail
HumanEval/40,HumanEval+,easy,0,1,0,2,0,1,fail
HumanEval/41,HumanEval+,easy,0,2,0,0,1,1,
HumanEval/42,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/43,HumanEval+,easy,1,2,0,1,1,2,
HumanEval/44,HumanEval+,easy,0,2,0,0,0,1,
HumanEval/45,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/46,HumanEval+,easy,1,2,0,1,1,2,
HumanEval/47,HumanEval+,easy,2,2,0,2,1,2,
HumanEval/48,HumanEval+,easy,2,2,0,2,1,2,
HumanEval/49,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/50,HumanEval+,easy,1,1,0,1,1,2,
HumanEval/51,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/52,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/53,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/54,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/55,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/56,HumanEval+,easy,1,2,1,2,2,2,
HumanEval/57,HumanEval+,easy,1,1,0,1,1,1,
HumanEval/58,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/59,HumanEval+,easy,1,1,0,1,2,1,
HumanEval/60,HumanEval+,easy,2,2,1,2,2,2,
HumanEval/61,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/62,HumanEval+,easy,0,1,0,1,0,0,fail
HumanEval/63,HumanEval+,easy,2,2,0,2,0,2,
HumanEval/64,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/65,HumanEval+,easy,0,1,0,1,0,1,fail
HumanEval/66,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/67,HumanEval+,easy,2,0,0,2,1,1,
HumanEval/68,HumanEval+,easy,1,2,0,1,1,0,
HumanEval/69,HumanEval+,easy,2,2,0,2,2,1,
HumanEval/70,HumanEval+,easy,0,0,0,0,0,0,
HumanEval/71,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/72,HumanEval+,easy,2,2,0,2,2,2,
HumanEval/73,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/74,HumanEval+,easy,2,0,0,2,2,2,
HumanEval/75,HumanEval+,easy,1,0,0,0,0,2,
HumanEval/76,HumanEval+,easy,0,0,0,0,0,0,
