task_id,pool,difficulty,tries,correct,kept,kept_thinking_tokens,question_start
lcb/abc301_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc302_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc302_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc303_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc303_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc307_a,LiveCodeBench (older),easy,4,2,true,4862,Takahashi has recorded the number of steps he walked for N weeks. He w
lcb/abc308_a,LiveCodeBench (older),easy,4,1,true,7198,"Given eight integers S_1,S_2,\dots, and S_8, print Yes if they satisfy"
lcb/abc308_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc309_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc309_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc311_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc312_a,LiveCodeBench (older),easy,4,4,true,3516,"Given a length-3 string S consisting of uppercase English letters, pri"
lcb/abc312_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc313_a,LiveCodeBench (older),easy,4,1,true,6224,There are N people numbered 1 through N. Each person has a integer sco
lcb/abc314_a,LiveCodeBench (older),easy,4,1,true,7596,The number pi to the 100-th decimal place is 3.14159265358979323846264
lcb/abc314_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc315_a,LiveCodeBench (older),easy,4,3,true,2233,You are given a string S consisting of lowercase English letters. Remo
lcb/abc318_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc319_b,LiveCodeBench (older),easy,4,1,true,5837,"You are given a positive integer N. Print a string of length (N+1), s_"
lcb/abc320_a,LiveCodeBench (older),easy,4,2,true,5094,You are given positive integers A and B. Print the value A^B+B^A. Inpu
lcb/abc321_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc322_a,LiveCodeBench (older),easy,4,0,false,,
lcb/abc322_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc325_b,LiveCodeBench (older),medium,4,0,false,,
lcb/abc326_b,LiveCodeBench (older),easy,4,1,true,1962,A 326-like number is a three-digit positive integer where the product 
lcb/abc327_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc329_a,LiveCodeBench (older),easy,4,2,true,4613,You are given a string S consisting of uppercase English letters. Sepa
lcb/abc329_b,LiveCodeBench (older),easy,4,3,true,5548,"You are given N integers A_1, A_2, \ldots, A_N. Find the largest among"
lcb/abc331_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc333_a,LiveCodeBench (older),easy,4,1,true,4709,"You are given an integer N between 1 and 9, inclusive, as input. Conca"
lcb/abc333_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc334_a,LiveCodeBench (older),easy,4,4,true,1310,"Takahashi, a young baseball enthusiast, has been a very good boy this "
lcb/abc334_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc335_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc336_b,LiveCodeBench (older),easy,4,2,true,6833,"For a positive integer X, let \text{ctz}(X) be the (maximal) number of"
lcb/abc336_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc337_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc339_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc339_d,LiveCodeBench (older),medium,4,0,false,,
lcb/abc340_a,LiveCodeBench (older),easy,4,3,true,7006,"Print an arithmetic sequence with first term A, last term B, and commo"
lcb/abc340_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc341_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc341_c,LiveCodeBench (older),medium,4,0,false,,
lcb/abc342_a,LiveCodeBench (older),easy,4,0,false,,
lcb/abc342_b,LiveCodeBench (older),easy,4,0,false,,
lcb/abc342_c,LiveCodeBench (older),medium,4,0,false,,
lcb/1873_D,LiveCodeBench (older),easy,4,0,false,,
lcb/2730,LiveCodeBench (older),medium,4,0,false,,
lcb/2791,LiveCodeBench (older),easy,4,0,false,,
lcb/2792,LiveCodeBench (older),medium,4,0,false,,
lcb/2811,LiveCodeBench (older),medium,4,0,false,,
lcb/2844,LiveCodeBench (older),easy,4,1,true,5772,You are given a 1-indexed integer array nums of length n. An element n
lcb/2850,LiveCodeBench (older),medium,4,0,false,,
lcb/2854,LiveCodeBench (older),medium,4,0,false,,
lcb/2857,LiveCodeBench (older),easy,4,0,false,,
lcb/2866,LiveCodeBench (older),easy,4,0,false,,
lcb/2868,LiveCodeBench (older),medium,4,0,false,,
lcb/2869,LiveCodeBench (older),medium,4,0,false,,
lcb/2872,LiveCodeBench (older),medium,4,0,false,,
lcb/2886,LiveCodeBench (older),easy,4,1,true,1253,"Your laptop keyboard is faulty, and whenever you type a character 'i' "
lcb/2998,LiveCodeBench (older),easy,4,1,true,1117,You are given two positive integers low and high. An integer x consist
lcb/3018,LiveCodeBench (older),medium,4,0,false,,
lcb/3033,LiveCodeBench (older),medium,4,0,false,,
lcb/3080,LiveCodeBench (older),medium,4,0,false,,
lcb/3093,LiveCodeBench (older),easy,4,2,true,688,You are given a 0-indexed integer array nums and an integer k. Return 
lcb/3164,LiveCodeBench (older),easy,4,0,false,,
lcb/3176,LiveCodeBench (older),easy,4,1,true,755,You are given a 0-indexed array nums of integers. A triplet of indices
lcb/3190,LiveCodeBench (older),medium,4,0,false,,
